patron_nombre_producto,precio_cobrado_eur,meses_que_cubre,alumnos_hoy,tipo,active,notas
Empresas Ingles General — B1 · 2h semanales,104,1,4,suscripción,true,"TARIFA MENSUAL, no total (31/08/2026). En Woo el total de cada variante es tarifa x meses; las 20 variaciones dan 89/104/139/159 al dividir, igual que ""Curso de inglés general"". Por eso billing_months=1 y NO se prorratea. company_plan_months sigue mandando el ACCESO. La combinación con más alumnos."
Empresas Ingles General — B2 · 2h semanales,104,1,1,suscripción,true,"TARIFA MENSUAL, no total (31/08/2026). En Woo el total de cada variante es tarifa x meses; las 20 variaciones dan 89/104/139/159 al dividir, igual que ""Curso de inglés general"". Por eso billing_months=1 y NO se prorratea. company_plan_months sigue mandando el ACCESO."
Empresas Ingles General — B1 · 3h semanales,139,1,1,suscripción,true,"TARIFA MENSUAL, no total (31/08/2026). En Woo el total de cada variante es tarifa x meses; las 20 variaciones dan 89/104/139/159 al dividir, igual que ""Curso de inglés general"". Por eso billing_months=1 y NO se prorratea. company_plan_months sigue mandando el ACCESO."
Empresas Ingles General — B1 · 4h semanales,159,1,1,suscripción,true,"TARIFA MENSUAL, no total (31/08/2026). En Woo el total de cada variante es tarifa x meses; las 20 variaciones dan 89/104/139/159 al dividir, igual que ""Curso de inglés general"". Por eso billing_months=1 y NO se prorratea. company_plan_months sigue mandando el ACCESO."
Empresas Intensivos,,3,0,pago único,true,"RESPALDO: hoy los 2 alumnos caen en la fila específica de abajo. NO la borres."
Empresas Intensivos — 5h semanales,,3,2,pago único,true,"Precio por hora. Acá la hora va ANTES del nivel, así que una sola fila cubre B1 y B2."
Empresas Preparacion de Examenes,,3,0,pago único,false,"active=false MIENTRAS EL PRECIO SIGA VACÍO: sin alumnos hoy, y en Woo varía por horas Y por duración (3/6/9 meses), así que no hay un tier base único. Con precio 0 y active=true, el primer alumno que apareciera facturaría 0 € silenciosos —indistinguible de \"no paga\"—; inactiva devuelve \"sin precio\" y marca el margen como PARCIAL. Al cargar el precio real, volver a true."
Plan mensual de inglés para niños - 2h semanales,,1,1,suscripción,true,
Plan mensual Niños - 1h semanal,,1,1,suscripción,true,
Aprende Inglés Hoy: Clases Online 100% Personalizadas,,1,1,suscripción,true,"Alta 04/08/2026, 1 alumno. PENDIENTE: confirmar qué es en Woo."
Matricula DRC Academy - Inglés General,,1,1,alta única,false,"active=false A PROPÓSITO: cobro de alta, no plan mensual. Con la regla corregida gana igual el patrón más largo y devuelve ""sin precio"", en vez de caer en ""Inglés general"" y facturarse todos los meses."
